name,department,school,Feedback,Quality_points,Number_Ratings
Jon Houseman,Science,University of Ottawa,82%,3.3,377 ratings
Ivaylo Grouev,Political Science,University of Ottawa,49%,3.3,329 ratings
Sam Alvaro,Social Science,University of Ottawa,38%,3.1,330 ratings
Colin Montpetit,Biology,University of Ottawa,33%,2.5,305 ratings
Termeh Kousha,Mathematics,University of Ottawa,100%,4.8,266 ratings
Noureddine Mouelhi,Philosophy,University of Ottawa,27%,2.1,196 ratings
Laura Byrne,Philosophy,University of Ottawa,83%,4.1,184 ratings
Claude Théorêt,Economics,University of Ottawa,66%,3.6,177 ratings
